Reference,Log2owc,Log2uwc,Log2urob,Log2otp,Log2ea
ENST00000295834,-1.568256414,-1.058107716,-0.044703246,-0.711058851,-0.188233607
ENST00000431156,-1.726042762,-1.983815695,-0.477139733,-0.498142211,-0.322431651
ENST00000265641,-1.105325615,-1.130164415,-0.170013815,-0.328494231,-0.226500809
ENST00000397990,-1.640631353,-1.190132143,-0.125343906,-1.276937936,-0.230666746
ENST00000222002,-1.326829751,-1.221089345,-0.500882732,-1.047075153,-0.241118292
ENST00000465692,-1.222474076,-1.258253093,0.071764241,-0.045237809,-0.622704343
ENST00000287611,-1.703710891,-0.808012212,-0.541703957,-1.260945903,-0.170474909
ENST00000278222,-1.106325057,-1.268802724,0.028551234,-0.595074451,-0.309337327
ENST00000290597,-2.112090903,-1.230957339,0.017569476,-0.975502034,-0.856454442
ENST00000522940,-1.314418534,-0.9212525,-0.070671158,-0.438777413,-0.010248591
ENST00000320631,-1.132022595,-1.214646954,0.137534895,-0.197510859,-0.455119127
ENST00000009589,-0.341441365,-0.318984846,-0.180950434,-0.272308636,-0.36852619
ENST00000270625,-0.192240117,-0.233044301,-0.153664512,-0.259150457,-0.298525261
ENST00000274242,-0.422724734,-0.188702618,-0.212737156,-0.347146938,-0.334172882
ENST00000479035,-0.326176505,-0.23199652,-0.158078203,-0.380154044,-0.365931632
ENST00000323345,-0.24086718,-0.192628197,-0.368303953,-0.289043983,-0.210068629
ENST00000504562,-0.253265742,-0.277510278,-0.194654905,-0.230511766,-0.434776943
ENST00000368575,0.094512214,-0.00259055,-0.190891531,-0.146934752,-0.350662155
ENST00000376281,-0.105760401,-0.030915285,-0.218991821,-0.561810254,-0.322473314
ENST00000292475,-0.405707503,-0.516711821,-0.348962823,-0.586334602,-0.460816661
ENST00000331872,0.17889552,0.089732497,-0.093685533,-0.63807535,0.162787105
ENST00000420712,-0.254358137,-0.269421177,-0.164222943,-0.162407058,-0.358764064
ENST00000362097,-0.036246621,-0.139947659,-0.090620467,-0.145966276,-0.287865797
ENST00000267115,0.125363112,0.004732094,-0.196415131,-0.261875244,-0.035802509
ENST00000537328,-0.19475095,-0.047443273,-0.110972012,0.009849949,-0.314253731
ENST00000247665,-0.131556167,-0.266019458,-0.158451909,0.031925064,-0.318797656
